id;i_d;name;value;date;jhi_interval
1;25231;next-generation Cotton neutral;69890;2022-06-05;69392
2;62207;Ways invoice;53647;2022-06-06;21976
3;39976;International Baby redundant;97038;2022-06-06;75621
4;12322;functionalities Franc Fish;79183;2022-06-05;22013
5;91643;Beauty virtual Rubber;20446;2022-06-06;27628
6;6901;deposit Liaison;54498;2022-06-05;62592
7;59580;Engineer;45300;2022-06-06;88168
8;61534;Fish parse;74405;2022-06-05;98380
9;9838;Rheinland-Pfalz;83572;2022-06-06;68566
10;96516;Bedfordshire Facilitator Loan;60296;2022-06-05;10681
